Genes,logFC,AveExpr,t,P.Value,adj.P.Val,B,xiao,signifficant,names
XIRP1,0.5809048817352167,12.352570602053392,1.4257985000960651,0.18038709885135906,0.6488037654089173,-4.895945150586999,0.369765279293376,not signifficant,
ATAD1,-0.5925145852311555,11.346665442532997,-1.4255923394425112,0.1804453079505616,0.6488037654089173,-4.896189488454292,0.3625550159128359,not signifficant,
SETD7,0.47503061242090716,12.404685043574746,1.425415547060654,0.1804952375615241,0.6488037654089173,-4.89639900070284,0.443402838126038,not signifficant,
TXNDC5,-0.608294350549226,8.427822033155664,-1.4339300889332183,0.18055653434696126,0.6488037654089173,-4.886727647572391,0.353022198682421,not signifficant,
EPM2A,-0.5112578401305701,11.389572689465261,-1.4244600386554442,0.1807652930358178,0.6488037654089173,-4.897531048162297,0.41705587629497937,not signifficant,
NTPCR,-0.4041112294737488,9.327141033142263,-1.4222605935820727,0.1813882147424154,0.6500649492415307,-4.900134924009951,0.5016439724501174,not signifficant,
DYRK1A,-0.4301934812885886,9.261048489245969,-1.4280292453593433,0.18220728064514613,0.6504525102087801,-4.893682146783256,0.4807288604850977,not signifficant,
CPS1,-1.722000951008523,9.156601273839552,-1.4686360586347187,0.18231637739648465,0.6504525102087801,-4.5368939890449225,0.05335082295559579,not signifficant,
HK1,-0.4218770028267933,12.914142663510356,-1.4155838555310238,0.1832902510667959,0.6504525102087801,-4.908022782155068,0.4888047800786811,not signifficant,
RO60,0.4231531651081717,10.604773932639956,1.4127726486015757,0.1840960902345415,0.6504525102087801,-4.911336435159511,0.4886538013063819,not signifficant,
DARS2,-0.6798728512554089,11.570385689204219,-1.4127444934472277,0.18410417599032683,0.6504525102087801,-4.911369599968099,0.316473041694462,not signifficant,
USP47,0.3732472935611213,10.062522071560238,1.4110918728991557,0.18457930716373816,0.6504525102087801,-4.91331548875093,0.5322366722494817,not signifficant,
ATP5ME,-0.6683676710503459,15.262854345050727,-1.4100309880030923,0.18488485504179855,0.6504525102087801,-4.914563822480583,0.3236089721439467,not signifficant,
ACSS2,0.4553999006582128,10.715937175133442,1.4099568954789587,0.18490621043454436,0.6504525102087801,-4.91465098274803,0.4636281371657886,not signifficant,
JSRP1,-0.47101307194409436,13.04513250519316,-1.4090184111280812,0.18517688508803845,0.6504525102087801,-4.915754719726003,0.4518807040083034,not signifficant,
PMPCB,-0.41196917769215347,11.015819987335078,-1.4073834579475424,0.18564922637772807,0.6504525102087801,-4.9176763736344355,0.49971699050259577,not signifficant,
ACO2,-0.4482876717135156,17.38594403795168,-1.4072858101691392,0.1856774689419692,0.6504525102087801,-4.917791096790593,0.4701038063703658,not signifficant,
CD44,0.8907530667626382,8.405793300857962,1.4557897307255712,0.1857318038350624,0.6504525102087801,-4.642751289681181,0.22323290389975523,not signifficant,
PRKAG1,-0.935040231516254,8.920907026807933,-1.4067871485869372,0.1858217524478789,0.6504525102087801,-4.918376873680665,0.20728881570111454,not signifficant,
PYGL,-1.3013835574218255,8.552703105538416,-1.4147164713811606,0.18597864904525913,0.6504525102087801,-4.829265983172883,0.11201889272866866,not signifficant,
PFKFB1,-0.6185940894858089,8.426342643739417,-1.436958445110051,0.18629253175994437,0.6504525102087801,-4.80520767447263,0.35362846488281274,not signifficant,
MTERF3,-0.4625513223539688,9.131222113610319,-1.4236324535721994,0.18638957240479026,0.6504525102087801,-4.819596600618406,0.45976144795666196,not signifficant,
LMNB1,0.40906955410044255,11.156270588538508,1.403784344160586,0.18669257547610127,0.6504525102087801,-4.9219012838789755,0.5033154548684922,not signifficant,
DMAC2L,-0.5417500702992797,12.443820206555497,-1.4035590623616505,0.18675804549868003,0.6504525102087801,-4.9221654922765135,0.4029169339728839,not signifficant,
PTGR1,-0.5185019522697782,11.732075697299635,-1.4032509975359753,0.1868476045305534,0.6504525102087801,-4.922526741194516,0.4190490537522501,not signifficant,
CYB5R1,-0.6430202283084903,14.02902455169232,-1.4029663805505241,0.18693037887370123,0.6504525102087801,-4.922860446356306,0.3401538839164668,not signifficant,
USP7,0.4758724123318192,10.688474997816673,1.4019193937205496,0.18723513521261134,0.650567363859204,-4.924087612012495,0.45055645113496795,not signifficant,
DIP2C,-0.595082712845393,8.162546461708354,-1.4188735588260424,0.18773401390985198,0.6506097724849268,-4.904757460411114,0.36957107851465504,not signifficant,
TAGLN,0.7938930323285955,12.501639055356401,1.3996996420389562,0.18788263450771733,0.6506097724849268,-4.926687304975536,0.26518176924873516,not signifficant,
NAP1L1,0.6437118823754187,8.492358126581852,1.4066963235938656,0.18828245047569342,0.6506097724849268,-4.918669574272703,0.3413394452204219,not signifficant,
MYH7B,-0.9090715427138569,10.527568275818565,-1.4450053366821234,0.18864297277510853,0.6506097724849268,-4.653901632380842,0.21953588101773353,not signifficant,
QARS1,-0.3844196201093535,10.601035350221872,-1.3962240639190242,0.18890021784170263,0.6506097724849268,-4.930752137846885,0.5269501794533911,not signifficant,
QKI,0.408782526618122,12.269023190951868,1.3931835975502755,0.18979418141472681,0.6506097724849268,-4.934302432637614,0.5069611250402981,not signifficant,
