,fiberID,subject,fiber_number,plate_number,plate_position,digestion_batch,MS_batch,date_isolation
782,P4_fibNumber93,P4,93,9,F11,5,3,08/11/2011
783,P4_fibNumber92,P4,92,2,G2,1,1,08/11/2011
784,P4_fibNumber91,P4,91,7,C9,4,2,08/11/2011
785,P4_fibNumber90,P4,90,1,D2,1,1,08/11/2011
786,P4_fibNumber9,P4,9,5,H3,3,2,30/09/2021
787,P4_fibNumber89,P4,89,1,E8,1,1,08/11/2011
788,P4_fibNumber88,P4,88,9,E2,5,3,08/11/2011
789,P4_fibNumber87,P4,87,9,B2,5,3,08/11/2011
790,P4_fibNumber86,P4,86,6,G7,3,2,08/11/2011
791,P4_fibNumber85,P4,85,3,B7,2,1,08/11/2011
792,P4_fibNumber84,P4,84,4,A12,2,1,08/11/2011
793,P4_fibNumber83,P4,83,9,D10,5,3,08/11/2011
794,P4_fibNumber82,P4,82,8,B1,4,3,08/11/2011
795,P4_fibNumber81,P4,81,10,H10,5,3,08/11/2011
796,P4_fibNumber80,P4,80,2,A10,1,1,08/11/2011
797,P4_fibNumber8,P4,8,10,H2,5,3,30/09/2021
798,P4_fibNumber79,P4,79,7,H6,4,2,08/11/2011
799,P4_fibNumber78,P4,78,11,A9,6,3,08/11/2011
800,P4_fibNumber77,P4,77,1,A6,1,1,08/11/2011
801,P4_fibNumber76,P4,76,10,C10,5,3,08/11/2011
802,P4_fibNumber75,P4,75,8,G2,4,3,08/11/2011
803,P4_fibNumber74,P4,74,7,F5,4,2,08/11/2011
804,P4_fibNumber73,P4,73,3,E3,2,1,08/11/2011
805,P4_fibNumber72,P4,72,2,C4,1,1,08/11/2011
806,P4_fibNumber71,P4,71,7,A12,4,2,08/11/2011
807,P4_fibNumber70,P4,70,2,G9,1,1,08/11/2011
808,P4_fibNumber7,P4,7,9,E12,5,3,30/09/2021
809,P4_fibNumber69,P4,69,2,F7,1,1,08/11/2011
810,P4_fibNumber68,P4,68,10,D12,5,3,08/11/2011
811,P4_fibNumber67,P4,67,6,B12,3,2,08/11/2011
812,P4_fibNumber66,P4,66,4,B3,2,1,08/11/2011
